# C++ name	package	module	Luce name	file:line	kind
Gfx::Bitmap::scanline	luce-browser-render	gfx	bitmap_scanline	Libraries/LibGfx/Bitmap.h:194	stub
Gfx::Bitmap::scanline	luce-browser-render	gfx	bitmap_scanline_const	Libraries/LibGfx/Bitmap.h:199	stub
Gfx::Bitmap::scanline_u8	luce-browser-render	gfx	bitmap_scanline_u8	Libraries/LibGfx/Bitmap.h:180	stub
Gfx::Bitmap::scanline_u8	luce-browser-render	gfx	bitmap_scanline_u8_const	Libraries/LibGfx/Bitmap.h:187	stub
Gfx::Bitmap::set_alpha_type_destructive	luce-browser-render	gfx	bitmap_set_alpha_type_destructive	Libraries/LibGfx/Bitmap.cpp:314	stub
Gfx::Bitmap::set_pixel	luce-browser-render	gfx	bitmap_set_pixel	Libraries/LibGfx/Bitmap.h:249	stub
Gfx::Bitmap::size	luce-browser-render	gfx	bitmap_size	Libraries/LibGfx/Bitmap.h:91	stub
Gfx::Bitmap::size_in_bytes	luce-browser-render	gfx	bitmap_size_in_bytes	Libraries/LibGfx/Bitmap.h:106	stub
Gfx::Bitmap::size_in_bytes	luce-browser-render	gfx	bitmap_size_in_bytes_usize	Libraries/LibGfx/Bitmap.h:105	stub
Gfx::Bitmap::strip_alpha_channel	luce-browser-render	gfx	bitmap_strip_alpha_channel	Libraries/LibGfx/Bitmap.cpp:234	stub
Gfx::Bitmap::to_bitmap_backed_by_anonymous_buffer	luce-browser-render	gfx	bitmap_to_bitmap_backed_by_anonymous_buffer	Libraries/LibGfx/Bitmap.cpp:215	stub
Gfx::Bitmap::to_shareable_bitmap	luce-browser-render	gfx	bitmap_to_shareable_bitmap	Libraries/LibGfx/Bitmap.cpp:242	stub
Gfx::Bitmap::unchecked_scanline	luce-browser-render	gfx	bitmap_unchecked_scanline	Libraries/LibGfx/Bitmap.h:170	stub
Gfx::Bitmap::unchecked_scanline	luce-browser-render	gfx	bitmap_unchecked_scanline_const	Libraries/LibGfx/Bitmap.h:175	stub
Gfx::Bitmap::unchecked_scanline_u8	luce-browser-render	gfx	bitmap_unchecked_scanline_u8	Libraries/LibGfx/Bitmap.h:160	stub
Gfx::Bitmap::unchecked_scanline_u8	luce-browser-render	gfx	bitmap_unchecked_scanline_u8_const	Libraries/LibGfx/Bitmap.h:165	stub
Gfx::Bitmap::width	luce-browser-render	gfx	bitmap_width	Libraries/LibGfx/Bitmap.h:92	stub
Gfx::BitmapExportResult	luce-browser-render	gfx	BitmapExportResult	Libraries/LibGfx/BitmapExportResult.h:13	struct
Gfx::BitmapFormat	luce-browser-render	gfx	BitmapFormat	Libraries/LibGfx/Bitmap.h:30	enum
Gfx::BitmapMetadata	luce-browser-render	gfx	BitmapMetadata	Libraries/LibGfx/BitmapSequence.h:22	struct
Gfx::BitmapSequence	luce-browser-render	gfx	BitmapSequence	Libraries/LibGfx/BitmapSequence.h:17	struct
Gfx::CanvasConicGradientPaintStyle	luce-browser-render	gfx	CanvasConicGradientPaintStyle	Libraries/LibGfx/PaintStyle.h:133	struct
Gfx::CanvasConicGradientPaintStyle::CanvasConicGradientPaintStyle	luce-browser-render	gfx	canvas_conic_gradient_paint_style_construct	Libraries/LibGfx/PaintStyle.h:144	construct
Gfx::CanvasConicGradientPaintStyle::center	luce-browser-render	gfx	canvas_conic_gradient_paint_style_center	Libraries/LibGfx/PaintStyle.h:140	stub
Gfx::CanvasConicGradientPaintStyle::create	luce-browser-render	gfx	canvas_conic_gradient_paint_style_create	Libraries/LibGfx/PaintStyle.h:135	stub
Gfx::CanvasConicGradientPaintStyle::start_angle	luce-browser-render	gfx	canvas_conic_gradient_paint_style_start_angle	Libraries/LibGfx/PaintStyle.h:141	stub
Gfx::CanvasLinearGradientPaintStyle	luce-browser-render	gfx	CanvasLinearGradientPaintStyle	Libraries/LibGfx/PaintStyle.h:112	struct
Gfx::CanvasLinearGradientPaintStyle::CanvasLinearGradientPaintStyle	luce-browser-render	gfx	canvas_linear_gradient_paint_style_construct	Libraries/LibGfx/PaintStyle.h:123	construct
Gfx::CanvasLinearGradientPaintStyle::create	luce-browser-render	gfx	canvas_linear_gradient_paint_style_create	Libraries/LibGfx/PaintStyle.h:114	stub
Gfx::CanvasLinearGradientPaintStyle::end_point	luce-browser-render	gfx	canvas_linear_gradient_paint_style_end_point	Libraries/LibGfx/PaintStyle.h:120	stub
Gfx::CanvasLinearGradientPaintStyle::start_point	luce-browser-render	gfx	canvas_linear_gradient_paint_style_start_point	Libraries/LibGfx/PaintStyle.h:119	stub
Gfx::CanvasPatternPaintStyle	luce-browser-render	gfx	CanvasPatternPaintStyle	Libraries/LibGfx/PaintStyle.h:84	struct
Gfx::CanvasPatternPaintStyle::CanvasPatternPaintStyle	luce-browser-render	gfx	canvas_pattern_paint_style_construct	Libraries/LibGfx/PaintStyle.cpp:13	construct
Gfx::CanvasPatternPaintStyle::Repetition	luce-browser-render	gfx	CanvasPatternPaintStyleRepetition	Libraries/LibGfx/PaintStyle.h:86	enum
Gfx::CanvasPatternPaintStyle::create	luce-browser-render	gfx	canvas_pattern_paint_style_create	Libraries/LibGfx/PaintStyle.cpp:19	stub
Gfx::CanvasPatternPaintStyle::image	luce-browser-render	gfx	canvas_pattern_paint_style_image	Libraries/LibGfx/PaintStyle.cpp:24	stub
Gfx::CanvasPatternPaintStyle::repetition	luce-browser-render	gfx	canvas_pattern_paint_style_repetition	Libraries/LibGfx/PaintStyle.h:96	stub
Gfx::CanvasPatternPaintStyle::set_transform	luce-browser-render	gfx	canvas_pattern_paint_style_set_transform	Libraries/LibGfx/PaintStyle.h:98	stub
Gfx::CanvasPatternPaintStyle::transform	luce-browser-render	gfx	canvas_pattern_paint_style_transform	Libraries/LibGfx/PaintStyle.h:97	stub
Gfx::CanvasRadialGradientPaintStyle	luce-browser-render	gfx	CanvasRadialGradientPaintStyle	Libraries/LibGfx/PaintStyle.h:154	struct
Gfx::CanvasRadialGradientPaintStyle::CanvasRadialGradientPaintStyle	luce-browser-render	gfx	canvas_radial_gradient_paint_style_construct	Libraries/LibGfx/PaintStyle.h:167	construct
Gfx::CanvasRadialGradientPaintStyle::create	luce-browser-render	gfx	canvas_radial_gradient_paint_style_create	Libraries/LibGfx/PaintStyle.h:156	stub
Gfx::CanvasRadialGradientPaintStyle::end_center	luce-browser-render	gfx	canvas_radial_gradient_paint_style_end_center	Libraries/LibGfx/PaintStyle.h:163	stub
Gfx::CanvasRadialGradientPaintStyle::end_radius	luce-browser-render	gfx	canvas_radial_gradient_paint_style_end_radius	Libraries/LibGfx/PaintStyle.h:164	stub
Gfx::CanvasRadialGradientPaintStyle::start_center	luce-browser-render	gfx	canvas_radial_gradient_paint_style_start_center	Libraries/LibGfx/PaintStyle.h:161	stub
Gfx::CanvasRadialGradientPaintStyle::start_radius	luce-browser-render	gfx	canvas_radial_gradient_paint_style_start_radius	Libraries/LibGfx/PaintStyle.h:162	stub
Gfx::ChannelSelector	luce-browser-render	gfx	ChannelSelector	Libraries/LibGfx/Filter.h:18	enum
Gfx::CodePointFallbackKey	luce-browser-render	web_fonts	CodePointFallbackKey	Libraries/LibGfx/Font/FontDatabase.h:19	struct
Gfx::CodePointFallbackKey::hash	luce-browser-render	web_fonts	code_point_fallback_key_hash	Libraries/LibGfx/Font/FontDatabase.h:27	stub
Gfx::Color	luce-browser-render	gfx	Color	Libraries/LibGfx/Color.h:58	struct
Gfx::Color::BrandedColor	luce-browser-render	gfx	ColorBrandedColor	Libraries/LibGfx/Color.h:88	enum
